,String ID,String Data
0,2,Northwind Traders
1,3,Cannot remove posted inventory!
2,4,Back ordered product filled for Order #|
3,5,Discounted price below cost!
4,6,Insufficient inventory.
5,7,Insufficient inventory. Do you want to create a purchase order?
6,8,Purchase orders were successfully created for | products
7,9,There are no products below their respective reorder levels
8,10,Must specify customer name!
9,11,Restocking will generate purchase orders for all products below desired inventory levels.  Do you want to continue?
10,12,Cannot create purchase order.  No suppliers listed for specified product
11,13,Discounted price is below cost!
12,14,Do you want to continue?
13,15,Order is already invoiced. Do you want to print the invoice?
14,16,Order does not contain any line items
15,17,Cannot create invoice!  Inventory has not been allocated for each specified product.
16,18,"Sorry, there are no sales in the specified time period"
17,19,Product successfully restocked.
18,21,Product does not need restocking! Product is already at desired inventory level.
19,22,Product restocking failed!
20,23,Invalid login specified!
21,24,Must first select reported!
22,25,"Changing supplier will remove purchase line items, continue?"
23,26,Purchase orders were successfully submitted for | products.  Do you want to view the restocking report?
24,27,There was an error attempting to restock inventory levels.
25,28,| product(s) were successfully restocked.  Do you want to view the restocking report?
26,29,You cannot remove purchase line items already posted to inventory!
27,30,There was an error removing one or more purchase line items.
28,31,You cannot modify quantity for purchased product already received or posted to inventory.
29,32,You cannot modify price for purchased product already received or posted to inventory.
30,33,Product has been successfully posted to inventory.
31,34,"Sorry, product cannot be successfully posted to inventory."
32,35,There are orders with this product on back order.  Would you like to fill them now?
33,36,Cannot post product to inventory without specifying received date!
34,37,Do you want to post received product to inventory?
35,38,"Initialize purchase, orders, and inventory data?"
36,39,Must first specify employee name!
37,40,Specified user must be logged in to approve purchase!
38,41,Purchase order must contain completed line items before it can be approved
39,42,"Sorry, you do not have permission to approve purchases."
40,43,Purchase successfully approved
41,44,Purchase cannot be approved
42,45,Purchase successfully submitted for approval
43,46,Purchase cannot be submitted for approval
44,47,"Sorry, purchase order does not contain line items"
45,48,Do you want to cancel this order?
46,49,Canceling an order will permanently delete the order.  Are you sure you want to cancel?
47,100,Your order was successfully canceled.
48,101,Cannot cancel an order that has items received and posted to inventory.
49,102,There was an error trying to cancel this order.
50,103,The invoice for this order has not yet been created.
51,104,Shipping information is not complete.  Please specify all shipping information and try again.
52,105,Cannot mark as shipped.  Order must first be invoiced!
53,106,Cannot cancel an order that has already shipped!
54,107,Must first specify salesperson!
55,108,Order is now marked closed.
56,109,Order must first be marked shipped before closing.
57,110,Must first specify payment information!
58,111,There was an error attempting to restock inventory levels.  | product(s) were successfully restocked.
59,112,You must supply a Unit Cost.
60,113,"Fill back ordered product, Order #|"
61,114,Purchase generated based on Order #|
